name,equipment,primary_muscle,secondary_muscle,video,thumbnail,howTo
Lateral Raise (Dumbbell),Dumbbell,Shoulders,None,assets/media/exercises/ex_0011_video.mp4,assets/media/exercises/ex_0011_thumbnail.jpg,"1. Grab a pair of light dumbbells and stand tall. | 2. Bring your shoulders back, engage your abs, and take a breath. | 3. Lift both arms laterally until your elbows and wrists align with your shoulders. Exhale at the top. | 4. Lower the dumbbells to your sides as you breathe in."
Leg Extension (Machine),Machine,Quadriceps,None,assets/media/exercises/ex_0012_video.mp4,assets/media/exercises/ex_0012_thumbnail.jpg,"1. Select the appropriate load. | 2. Adjust the pad to be against your lower legs, just above your feet when seated. | 3. Sit down, grab the handles by your sides, place your lower shins against the pad, and retract your shoulders. | 4. Take a breath and straighten your legs by engaging your quadriceps. | 5. Lift the weight until your knees straighten, and breathe out. | 6. Hold for a moment and bend your knees slowly as you breathe in."
Leg Press (Machine),Machine,Quadriceps,"Glutes, Hamstrings",assets/media/exercises/ex_0013_video.mp4,assets/media/exercises/ex_0013_thumbnail.jpg,"1. Add the appropriate weight to the leg press machine and sit down. | 2. Lift your legs and plant your feet flat on the platform. Have your feet in a comfortable position with your toes pointing slightly out. | 3. Grab the handles to your sides, bring your shoulders back, and engage your abs. | 4. Press the platform and straighten your legs while rotating the handles to remove the safety pins. | 5. Take another breath and lower the platform by bending your knees. | 6. Hold the bottom position for a moment and press the platform away as you exhale. | 7. Once finished, straighten your legs, rotate the handles to put the safety pins on, and rest."
Lying Leg Curl (Machine),Machine,Hamstrings,Calves,assets/media/exercises/ex_0014_video.mp4,assets/media/exercises/ex_0014_thumbnail.jpg,"1. Select the appropriate load and adjust the pad to be over your Achilles tendon (above the heel) when you lie down. | 2. Lie down, grab the handles, and place the back of your lower legs against the pad. | 3. Take a breath and engage your hamstrings to curl your legs, lifting the weight. | 4. Curl until your lower legs are almost vertical and exhale at the top. | 5. Hold for a moment and extend your knees slowly as you inhale."
Seated Cable Row - V Grip (Cable),Machine,Upper Back,"Lats, Biceps, Forearms",assets/media/exercises/ex_0015_video.mp4,assets/media/exercises/ex_0015_thumbnail.jpg,"1. Attach a V-handle to a seated row machine and select the appropriate weight. | 2. Sit down and grab the handle with both hands. | 3. Place your feet on the platform and sit back. Maintain a slight bend in your knees. | 4. Retract your shoulder blades and engage your abs. Keep your torso upright, and don't lean too far back. | 5. Take a deep breath and pull the handle to your stomach in one fluid motion, pausing briefly and exhaling. | 6. Slowly extend your arms as you breathe in."
Seated Leg Curl (Machine),Machine,Hamstrings,Calves,assets/media/exercises/ex_0016_video.mp4,assets/media/exercises/ex_0016_thumbnail.jpg,"1. Select the appropriate load. | 2. Adjust the pad position. It should be against your Achilles' heels as you sit down. | 3. Sit down, position the back of your lower legs against the pad, and grab the handles at your sides. | 4. Bring your shoulders back, engage your abs, and inhale. | 5. Bend your knees by contracting your hamstrings and breathe out. | 6. Hold for a moment and slowly extend your knees as you breathe in."
Shoulder Press (Dumbbell),Dumbbell,Shoulders,Triceps,assets/media/exercises/ex_0017_video.mp4,assets/media/exercises/ex_0017_thumbnail.jpg,"1. Set an adjustable gym bench at a close to 90-degree angle (almost upright back support). | 2. Grab a pair of dumbbells and sit down. | 3. Place the weights on top of your thighs. | 4. Bring your shoulders back, engage your abs, and take a breath. | 5. Lift the dumbbells and kick them up with your thighs. | 6. Position the weights to your sides. | 7. Take another breath and press the dumbbells up and in, tapping them at the top as you exhale. | 8. Lower the dumbbells until your elbows are slightly lower than your shoulders, breathing in on the way down."
Squat (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0018_video.mp4,assets/media/exercises/ex_0018_thumbnail.jpg,"1. Position the barbell at collarbone height. | 2. Grab the bar with an even overhand grip (palms facing down). | 3. Tuck yourself underneath the bar and place it on top of your trapezius (upper back). | 4. Align your feet, engage your abs, take a breath, and unrack the bar by straightening your legs. | 5. Take a couple of careful steps back and bring your feet shoulder-width apart. | 6. Bring your shoulders back, inhale, and squat until your thighs are parallel to the floor. Keep your heels in contact with the floor. | 7. Hold for a moment and press through your heels to bring yourself back to the top. Exhale near the top. | 8. Once finished, move forward and rack the barbell carefully before relaxing your body."
Triceps Pushdown,Machine,Triceps,None,assets/media/exercises/ex_0019_video.mp4,assets/media/exercises/ex_0019_thumbnail.jpg,"1. Pick the appropriate load, set the pulley in the highest position, and attach a bar. | 2. Grab the bar with an even overhand grip and bring your elbows to your sides. | 3. Take a couple of steps back and lean your torso slightly forward. | 4. Engage your abs, retract your shoulder blades, and take a breath. | 5. Extend your arms while keeping your elbows to your sides and hold for a moment. Exhale. | 6. Slowly bend your arms until your wrists are slightly higher than your elbows. Breathe in as your arms bend."
Triceps Rope Pushdown,Machine,Triceps,None,assets/media/exercises/ex_0020_video.mp4,assets/media/exercises/ex_0020_thumbnail.jpg,"1. Pick the appropriate weight, set the pulley to the highest position, and attach a rope. | 2. Grab the rope with both hands and bring your elbows to your sides. | 3. Take a step back and lean your torso forward slightly. | 4. Take a breath and extend your arms while keeping your elbows in position. Breathe out. | 5. Bend your arms slowly and breathe in. Stop when your wrists end up slightly higher than your elbows."
21s Bicep Curl,Barbell,Biceps,None,assets/media/exercises/ex_0021_video.mp4,assets/media/exercises/ex_0021_thumbnail.jpg,"1. Grab a straight or curved bar evenly and stand tall. Bring your shoulders back, squeeze your glutes, and take a breath. | 2. Curl the weight halfway (to the point where your wrists align with your elbows) for seven repetitions. | 3. Immediately start curling the bar from the halfway point to the top (where your wrists are a couple of inches higher than your elbows) for another seven repetitions. | 4. Finish by doing seven complete repetitions from full arm extension to the top position, breathing steadily as you do."
Ab Scissors,None,Abdominals,None,assets/media/exercises/ex_0022_video.mp4,assets/media/exercises/ex_0022_thumbnail.jpg,"1. Sit on an exercise mat, lean back, and place your hands on the floor and to your sides for balance. | 2. Engage your abs and raise your feet several inches off the floor while keeping your knees extended. | 3. Take a breath and cross your legs by bringing the right one over the left. Immediately uncross them and move the left leg over the right. | 4. Keep alternating until you get tired, breathing steadily as you do reps."
Ab Wheel,Other,Abdominals,None,assets/media/exercises/ex_0023_video.mp4,assets/media/exercises/ex_0023_thumbnail.jpg,1. Grab an ab wheel and get down on your knees. | 2. Lean forward and place the ab wheel on the floor while holding it firmly with both hands. | 3. Engage your abs and take a breath. | 4. Roll the ab wheel forward as you extend your body. | 5. Move forward as much as your ab strength allows and roll the wheel back to the starting position. Exhale.
Air Bike,Machine,Cardio,None,None,assets/media/exercises/ex_0024_thumbnail.jpg,
Arnold Press (Dumbbell),Dumbbell,Shoulders,Triceps,assets/media/exercises/ex_0025_video.mp4,assets/media/exercises/ex_0025_thumbnail.jpg,"1. Grab a pair of light dumbbells and sit on a gym bench with an upright back support. | 2. Lift the dumbbells and rest them on your thighs. | 3. Bring your shoulders back, engage your abs, and take a breath. | 4. Thrust the dumbbells and bring them to your sides. | 5. Take a breath and press the dumbbells to an overhead position as you breathe out. | 6. Lower the dumbbells slowly as you rotate your wrists in, breathing in on the way down. You should end up with the dumbbells in front of your chin and palms facing your body. | 7. Press again, rotating your wrists to complete the repetition with your palms facing forward."
Around The World,Dumbbell,Chest,"Upper Back, Shoulders, Lats",assets/media/exercises/ex_0026_video.mp4,assets/media/exercises/ex_0026_thumbnail.jpg,"1. Lie on a flat bench with a dumbbell in each hand. | 2. Position the dumbbells over your upper thighs with your arms straight and palms facing down. | 3. Bring your shoulders back, engage your abs, and breathe in. | 4. Slowly move the dumbbells from your upper thighs to behind your head in an arc motion, keeping your arms straight. Breathe out. | 5. Immediately move the weights from behind your head to the starting position in an arc as you breathe in. While doing so, twist your wrists to have your palms facing down at the starting position."
Assisted Pistol Squats,None,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0027_video.mp4,assets/media/exercises/ex_0027_thumbnail.jpg,"1. Stand next to a squat rack and grab it with one hand for balance. | 2. Lift one foot off the floor and raise the leg a few inches forward. Keep your opposite foot firmly planted on the floor. | 3. Engage your abs, bring your shoulders back, and take a breath. | 4. Squat by bending your knee and moving the opposite leg forward, keeping the foot off the floor. | 5. Descend as much as possible and push through the heel to lift yourself as you exhale. | 6. Once finished training one leg, support yourself on the opposite foot and perform the same number of reps."
Back Extension (Hyperextension),Machine,Lower Back,"Hamstrings, Glutes",assets/media/exercises/ex_0028_video.mp4,assets/media/exercises/ex_0028_thumbnail.jpg,"1. Set yourself up on a back extension machine. Have your hips and thighs against the pad and your ankles locked on the foot brace. | 2. Engage your abs, cross your arms in front of your chest, and take a breath. | 3. Lower yourself by bending at the hips and move down until you feel a stretch in your hamstrings and glutes. | 4. Engage your buttocks and lower back to raise your torso to the top position, pausing for a moment and exhaling."
Back Extension (Machine),Machine,Lower Back,None,assets/media/exercises/ex_0029_video.mp4,assets/media/exercises/ex_0029_thumbnail.jpg,"1. Sit on a back extension machine with your buttocks against a pad. | 2. Place the foot pad just over your feet. | 3. The top pad should be against your upper back. | 4. Adjust the load on the machine and cross your arms in front of your chest. | 5. Take a breath, engage your abs, and push the top pad backward by engaging your lower back muscles. Breathe out. | 6. Lean forward to the starting position as you breathe in."
Back Extension (Weighted Hyperextension),Machine,Lower Back,"Hamstrings, Glutes",assets/media/exercises/ex_0030_video.mp4,assets/media/exercises/ex_0030_thumbnail.jpg,1. Set yourself up inside a back extension bench. Have your heels secured against a pad and your hips against another pad. | 2. Bend forward and grab a weight plate off the floor or have a training partner hand it to you. | 3. Extend your body and take a breath. | 4. Bend your body at the hips while keeping your shoulders back and spine neutral. Move down as much as your muscle flexibility allows. | 5. Extend your body by engaging your posterior chain and exhale near the top.
Ball Slams,Other,Full Body,None,assets/media/exercises/ex_0031_video.mp4,assets/media/exercises/ex_0031_thumbnail.jpg,"1. Stand tall with your feet in a comfortable stance and your toes pointing slightly out. | 2. Hold a medicine ball in both hands, keeping it at stomach level. | 3. Engage your midsection, bend your knees slightly, and thrust the medicine ball overhead. Your arms should be straight, and the ball should be directly overhead for balance. | 4. Inhale and use your upper body muscles to accelerate the ball down and slam it as hard as you can just in front of your body. Breathe out. | 5. Bend your knees enough to pick up the ball while keeping your spine neutral. | 6. Breathe in and repeat the sequence."
Band Pullaparts,Resistance Band,Shoulders,Upper Back,assets/media/exercises/ex_0032_video.mp4,assets/media/exercises/ex_0032_thumbnail.jpg,"1. Grab a looped or open-ended resistance band with handles on both ends. The band should offer moderate resistance. | 2. Extend your arms in front of your body and have your palms neutral (facing one another). | 3. Take a breath and pull the band apart, bringing your arms to the sides while keeping them straight. Exhale. | 4. Bring your arms together as you breathe in."
Battle Ropes,Machine,Cardio,None,assets/media/exercises/ex_0033_video.mp4,assets/media/exercises/ex_0033_thumbnail.jpg,"1. Grab the pair of battle ropes. | 2. Bend your knees and lean forward slightly while keeping your spine neutral. | 3. Take a breath and move one arm up to shoulder level while bringing the opposite one down to your knees. | 4. Immediately move both arms in the opposite direction, changing their position. | 5. Alternate your arms at a steady tempo, breathing regularly as you do. | 6. Go for as long as possible until you feel a deep burn in your upper back and shoulders."
Behind the Back Bicep Wrist Curl (Barbell),Barbell,Forearms,None,assets/media/exercises/ex_0034_video.mp4,assets/media/exercises/ex_0034_thumbnail.jpg,"1. Place a loaded barbell or EZ bar on the floor and stand in front of it. | 2. With your arms to your sides and palms facing back, squat, and grab the bar evenly. Keep your back straight. | 3. Push through your heels and squat up, lifting the bar behind your body. | 4. Take a breath and flex your wrists to curl the barbell without moving your elbows or arms. Breathe out at the top. | 5. Extend your wrists as you breathe in."
Behind the Back Curl (Cable),Machine,Biceps,None,assets/media/exercises/ex_0035_video.mp4,assets/media/exercises/ex_0035_thumbnail.jpg,"1. Set the pulleys at around mid-thigh height, attach handles, and select the load. | 2. Grab the handles one by one and stand so the pulleys are behind you. | 3. Take a couple of steps forward to lift the weights off their stacks and allow the weight to pull your elbows behind your torso. | 4. With your chest out, lean your torso slightly forward and stagger your stance (one foot forward, the other one back). | 5. Breathe in, engage your abs, and curl until your wrists are at elbow level. Squeeze your biceps and exhale. | 6. Slowly extend your arms, allowing the handles to travel behind your body, and breathe in. | 7. Repeat."
Belt Squat (Machine),Machine,Quadriceps,"Glutes, Hamstrings",assets/media/exercises/ex_0036_video.mp4,assets/media/exercises/ex_0036_thumbnail.jpg,"1. Load the machine appropriately and put on the weight belt. | 2. Step on the platform and hook the belt’s chain to the machine’s lever via a carabiner. | 3. Stand tall and grab the handles or horizontal bar in front. | 4. Position your feet at a comfortable width for squats with your toes pointing slightly out. | 5. Bring your chest out, engage your abs, and unrack the weight. You can hold onto the bar or handles in front of you for balance. | 6. Breathe in and descend until your thighs are roughly parallel to the bar. | 7. Pause briefly and push through your heels to extend your knees, exhaling at the top. | 8. Breathe in and repeat."
Bench Dip,Other,Triceps,"Shoulders, Chest",assets/media/exercises/ex_0037_video.mp4,assets/media/exercises/ex_0037_thumbnail.jpg,"1. Face away from a sturdy gym bench, plyo box, or chair. | 2. Lean back and place your hands flat on the object's edge. | 3. Straighten your legs and support your lower body on your heels. Your torso should be upright. | 4. Engage your abs, take a breath, and descend by bending your elbows. | 5. Move down until your elbows form a 90-degree angle and pause for a moment. | 6. Extend your arms and exhale near the top."
Bench Press (Cable),Machine,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0038_video.mp4,assets/media/exercises/ex_0038_thumbnail.jpg,"1. Place a flat gym bench in the middle of a double cable machine. | 2. Adjust the load on both weight stacks, position the pulleys low, and attach handles. | 3. Grab both handles and sit on the bench while keeping your arms close to your body. | 4. Lie back carefully and bring your arms to your sides without flaring your elbows. | 5. Bring your shoulders back, engage your abs, and take a breath. | 6. Push both handles up and in, tapping your knuckles at the top as you exhale. | 7. Lower the weights carefully until your elbows are at torso level, and breathe in. | 8. Once finished, bring your arms in, get up slowly, and release both handles."
Bench Press (Smith Machine),Machine,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0039_video.mp4,assets/media/exercises/ex_0039_thumbnail.jpg,1. Place a flat gym bench in the middle of a Smith machine. | 2. Adjust the bar to a height where you can grab and unrack it from a lying position. | 3. Lie on the bench and position your lower chest directly underneath the bar. | 4. Grab the bar with an even overhand grip. | 5. Bring your shoulders back and dig the balls of your feet into the floor. | 6. Take a breath and unrack the bar. | 7. Lower the bar until it taps your chest and press it to the top as you exhale.
Bench Press - Close Grip (Barbell),Barbell,Triceps,"Chest, Shoulders",assets/media/exercises/ex_0040_video.mp4,assets/media/exercises/ex_0040_thumbnail.jpg,"1. Set the barbell at a height where you can reach it from a lying position. | 2. Lie on the bench and position your head underneath the bar. | 3. Reach up and grab the bar with an even, overhand grip. Your hands should be shoulder-width apart. | 4. Bring your shoulder blades back and draw your feet back and toward the bench, digging the balls of your feet into the floor. | 5. Engage your body, unrack the bar, and bring it over your chest. | 6. Breathe in and lower the barbell to your lower chest. | 7. Press the bar to the top position and exhale. | 8. Once finished, bring the barbell over the rack and rest it gently."
Bench Press - Wide Grip (Barbell),Barbell,Chest,"Shoulders, Triceps",assets/media/exercises/ex_0041_video.mp4,assets/media/exercises/ex_0041_thumbnail.jpg,"1. Set the barbell at a height where you can grab it from a lying position. | 2. Lie on the bench and position yourself so that the bar is directly over your forehead. | 3. Reach up and grab the bar with an overhand grip. Start with your hands shoulder-width apart, and gradually increase your grip width. | 4. Retract your shoulder blades and dig them into the bench. | 5. Bring your feet back and in toward the bench, digging the balls of your feet into the floor. | 6. Engage your upper body, unrack the barbell, and bring it over your chest. | 7. Take a breath and lower the barbell to the bottom (lower chest, nipple line). | 8. Tap your torso and push the bar back to the top, squeezing your triceps, shoulders, and pectorals. Exhale near the top. | 9. Once finished, bring the bar back over the safety pins and rack it."
Bent Over Row (Band),Resistance Band,Upper Back,"Lats, Biceps, Forearms",assets/media/exercises/ex_0042_video.mp4,assets/media/exercises/ex_0042_thumbnail.jpg,1. Take an open-ended resistance band with handles on both sides. | 2. Step over the middle of the band with both feet. | 3. Grab both handles and lean forward while keeping your spine neutral. The band should offer some tension even with your arms fully extended. You can increase or decrease the tension by having your feet closer or wider apart. | 4. Bring your shoulders back and take a breath. | 5. Pull both ends of the band up and in until your elbows are at torso level. Exhale at the top. | 6. Extend your arms as you breathe in.
Bent Over Row (Dumbbell),Dumbbell,Upper Back,"Lats, Biceps, Forearms",assets/media/exercises/ex_0043_video.mp4,assets/media/exercises/ex_0043_thumbnail.jpg,"1. Grab a pair of dumbbells and stand tall. | 2. Bring your shoulders back, engage your abs, and lean forward while keeping your back straight. Your torso should be as parallel to the floor as possible. | 3. Have your arms straight and hanging down with your wrists neutral (facing one another). | 4. Take a breath and row both dumbbells until your elbows are at torso level. Exhale at the top. | 5. Lower the weights, breathing in on the way down."
Bicep Curl (Barbell),Barbell,Biceps,None,assets/media/exercises/ex_0044_video.mp4,assets/media/exercises/ex_0044_thumbnail.jpg,"1. Pick the bar up and hold it with a grip slightly wider than your hips. Your arms should be straight, with your palms facing forward. | 2. Straighten your back, bring your chest out, take a breath, and curl the barbell, exhaling at the top. Don’t use body swinging and momentum to lift the bar; only your bicep strength. | 3. Lower the bar slowly as you breathe in, extending your arms and stretching your biceps. | 4. Repeat."
Bicep Curl (Cable),Machine,Biceps,None,assets/media/exercises/ex_0045_video.mp4,assets/media/exercises/ex_0045_thumbnail.jpg,"1. Attach a straight bar to a low cable pulley. | 2. Set the load on the weight stack at the appropriate amount. | 3. Lean forward and grab the straight bar evenly with your palms facing up. | 4. Stand up and step back (if necessary) to lift the weight from its stack. | 5. Bring your shoulders back, engage your abs, and have your elbows to your sides. | 6. Take a breath and curl the weight, keeping your elbows steady. | 7. Lift the weight until your wrists are slightly higher than your elbows and exhale. | 8. Lower the weight slowly, breathing in on the way down."
Bicep Curl (Machine),Machine,Biceps,None,assets/media/exercises/ex_0046_video.mp4,assets/media/exercises/ex_0046_thumbnail.jpg,"1. Select the correct load on the machine and adjust your seat’s height. | 2. Sit down and grab the handles by your sides. | 3. Bring your shoulders back, engage your abs, and take a breath. | 4. Bend one arm to lift the handle. Curl until your hand is slightly higher than your elbow, and breathe out. | 5. Extend your arm slowly as you breathe in. | 6. Bend your opposite arm in the same way. | 7. Keep alternating until you finish the set."
Bicep Curl (Suspension),Suspension,Biceps,None,assets/media/exercises/ex_0047_video.mp4,assets/media/exercises/ex_0047_thumbnail.jpg,"1. Grab the pair of handles attached to a suspension training kit. | 2. Walk your feet forward to lean your body back to some degree. | 3. Extend your body, squeeze your glutes, and bring your shoulders back. | 4. Take a breath and bend your arms to lift your body. | 5. Bend your arms until your elbows are at slightly more than a 90-degree angle, and breathe out. | 6. Extend your arms slowly, lowering your body to the starting position as you breathe in."
Bicycle Crunch,None,Abdominals,None,assets/media/exercises/ex_0048_video.mp4,assets/media/exercises/ex_0048_thumbnail.jpg,"1. Lie on the floor, lift your legs off the floor, and bend your knees at a 90-degree angle. | 2. Place your fingertips behind your head or neck. | 3. Take a breath, engage your midsection, and crunch, bringing your right elbow to your left knee. Exhale. | 4. Extend your body as you breathe in. | 5. Crunch again, taking your left elbow to your right knee. Exhale again. | 6. Keep alternating until you complete the set."
Bicycle Crunch Raised Legs,None,Abdominals,None,assets/media/exercises/ex_0049_video.mp4,assets/media/exercises/ex_0049_thumbnail.jpg,"1. Lie on the floor, lift your legs off the ground, and extend them in the air. | 2. Place your fingertips behind your head or neck. | 3. Take a breath, engage your midsection, and crunch your upper body. | 4. Twist your upper body, bringing your right elbow to your left leg. Simultaneously bend your left knee and get it closer to the opposite elbow. | 5. Hold for a moment as you breathe out. | 6. Extend your body and breathe in. | 7. Take your left elbow to your right knee. | 8. Keep alternating until you complete the set."
Bird Dog,None,Glutes,"Hamstrings, Shoulders",assets/media/exercises/ex_0050_video.mp4,assets/media/exercises/ex_0050_thumbnail.jpg,"1. Get down on all fours. Have your shoulders, elbows, and wrists aligned and your knees directly under your hips. Keep your hands flat on the floor. | 2. Engage your abs and take a breath. | 3. Extend your right leg back and up, aligning it with your torso. At the same time, extend your left arm and raise it forward. Exhale. | 4. Bring your arm and leg to the starting position as you breathe in. | 5. Extend your opposite limbs. | 6. Keep alternating between opposite limbs until you complete the set."
Box Jump,Other,Quadriceps,"Hamstrings, Glutes, Calves",assets/media/exercises/ex_0051_video.mp4,assets/media/exercises/ex_0051_thumbnail.jpg,1. Stand in front of a plyometric box or a flat gym bench. | 2. Have your feet close and your spine neutral. | 3. Take a breath and descend into a quarter squat as you bring your arms back. | 4. Immediately jump by pushing through your heels and swinging your arms forward. | 5. Exhale as you land on the bench or box. | 6. Step off and breathe in.
Box Squat (Barbell),Barbell,Quadriceps,"Hamstrings, Glutes",assets/media/exercises/ex_0052_video.mp4,assets/media/exercises/ex_0052_thumbnail.jpg,1. Set the barbell at the appropriate height and position a plyometric box behind you. | 2. Unrack the bar as you would for standard squats and take a couple of steps back. The box should be a few inches away from your heels. | 3. Take a breath and descend into a squat. | 4. Move down until your buttocks touch the box. | 5. Hold the position for a moment and push through your heels to squat up. Exhale.
Boxing,None,Cardio,None,None,assets/media/exercises/ex_0053_thumbnail.jpg,
Bulgarian Split Squat,Dumbbell,Quadriceps,"Glutes, Hamstrings",assets/media/exercises/ex_0054_video.mp4,assets/media/exercises/ex_0054_thumbnail.jpg,"1. Face away from a flat gym bench. | 2. Grab a pair of dumbbells and extend one leg back, placing the foot on the bench. | 3. Bring your shoulders back, engage your midsection, and take a breath. | 4. Squat by bending your front leg. | 5. Descend until your front thigh is almost parallel to the floor. | 6. Hold the bottom position for a moment and push through your heel to extend your leg as you exhale. | 7. Do the desired number of reps, switch legs, and match the rep count for your other leg."
Burpee,None,Full Body,None,assets/media/exercises/ex_0055_video.mp4,assets/media/exercises/ex_0055_thumbnail.jpg,"1. Stand tall with your feet in a comfortable stance, arms to your sides, and gaze directed forward. | 2. Take a breath, lean forward and bend your knees to place your hands flat on the floor, just in front of your feet. | 3. Kick your legs back to extend your body into a push-up position. Your shoulders, hips, knees, and ankles should be aligned. | 4. Inhale and perform a push-up, descending until your face is an inch or two from the floor (optional). Exhale as you extend your arms. | 5. Kick your legs forward to bring your feet just behind your hands as you breathe in. | 6. Extend your body and perform a vertical jump as you raise your arms above your head. Exhale."
